Month,Day,Year,Birthday,Name,Description
3,27,1892,3/27/1892,Ferde Grofe, composer
3,27,1899,3/27/1899,Gloria Swanson," Actress (Sadie Thomson, Queen Kelly)"
3,27,1901,3/27/1901,Sato Eisaku," (Lib), Japanese PM (1964-72) (Nobel 1974)"
3,27,1903,3/27/1903,Walt Kiesling," NFL guard, coach"
3,27,1912,3/27/1912,James Callaghan," (Labour), British PM (1976-79)"
3,27,1914,3/27/1914,Budd Schulberg, author
3,27,1914,3/27/1914,Snooky Lanson,
3,27,1917,3/27/1917,Cyrus R. Vance, Sec of State
3,27,1924,3/27/1924,Sarah Vaughn," Newark NJ, jazz singer"
3,27,1924,3/27/1924,Sarah Vaughan,
3,27,1927,3/27/1927,Anthony Lewis, Newspaper columnist
3,27,1934,3/27/1934,Arthur Mitchell, choreographer
3,27,1939,3/27/1939,Cale Yarborough, auto racer
3,27,1942,3/27/1942,Michael York, Actor (Cabaret)
3,27,1952,3/27/1952,Maria Schneider, Last Tango in Paris
3,27,1953,3/27/1953,Annemarie Proell, Alpine skier
3,27,1956,3/27/1956,Brian Kelly, CFL wide receiver (Edmonton Eskimos)
3,28,1472,3/28/1472,Fra Bartolomeo," monk, Florentine Renaissance painter"
3,28,1862,3/28/1862,Aristide Briand, French premier (1909-22) (Nobel 1926)
3,28,1868,3/28/1868,Aleksey Peshikov," (pen name Maksim Gorky), Russia"
3,28,1895,3/28/1895,Spencer W. Kimball, 12th prophet of Mormon church
3,28,1903,3/28/1903,Rudolf Serkin, pianist
3,28,1914,3/28/1914,Edmund S. Muskie," (D), Sec of State, Maine sen"
3,28,1922,3/28/1922,Dirk Bogarde, Actor
3,28,1924,3/28/1924,Freddie Bartholomew, Actor
3,28,1928,3/28/1928,Zbigniew Brzezinski, national security advisor
3,28,1933,3/28/1933,Sen Frank Murkowski, (R-Alaska)
3,28,1944,3/28/1944,Ken Howard, Actor
3,28,1944,3/28/1944,Rick Barry, NBA star (Golden State Warriors)
3,28,1955,3/28/1955,Reba McEntire, Country singer
3,29,1790,3/29/1790,John Tyler, 10th Pres (1841-1845)
3,29,1799,3/29/1799,Edward Stanley Earl Derby," (C), British PM (1852, 1858-59, 1866-68)"
3,29,1819,3/29/1819,Edwin Drake," drilled 1st productive oil well, US"
3,29,1867,3/29/1867,Cy Young," winningest pitcher (509 wins, 1890-1911)"
3,29,1875,3/29/1875,Lou Henry Hoover, 1st lady
3,29,1888,3/29/1888,James E. Casey, founded UPS
3,29,1902,3/29/1902,Sir William Walton, English composer
3,29,1916,3/29/1916,Eugene McCarthy," (D), Minn sen"
3,29,1918,3/29/1918,Pearl Bailey, jazz singer
3,29,1919,3/29/1919,Eileen Heckart, Colombus Ohio
3,29,1925,3/29/1925,Emlen Tunnell," NFL safety (Giants, Packers)"
3,29,1939,3/29/1939,Nancy Kwan, Hong Kong
3,29,1943,3/29/1943,Eric Idle,
3,29,1945,3/29/1945,Walt Frazier, NBA star (NY Knicks)
3,29,1954,3/29/1954,Karen Ann Quinlan,
3,29,1955,3/29/1955,Earl Campbell," NFL running back (Houston, New Orleans)"
3,29,1956,3/29/1956,Dianne Kay, Phoenix Az
3,30,1222,3/30/1222,Nichiren," Japanese Buddhist priest, saint"
3,30,1719,3/30/1719,Sir John Hawkins," wrote 1st history of music, English"
3,30,1746,3/30/1746,Francisco Jose de Goya," Spanish painter, etcher"
3,30,1844,3/30/1844,Paul Verlaine, French lyric poet
3,30,1853,3/30/1853,Vincent Van Gogh, artist
3,30,1880,3/30/1880,Sean O'Casey, Irish playwright
3,30,1886,3/30/1886,Stanislaw Lesniewski," Polish logician, mathematician"
3,30,1913,3/30/1913,Frankie Laine, singer
3,30,1913,3/30/1913,Richard Helms, former CIA head
3,30,1919,3/30/1919,McGeorge Bundy, Natl security adviser
3,30,1930,3/30/1930,John Astin, Actor
3,30,1930,3/30/1930,Peter Marshall, (Hollywood Squares)
3,30,1937,3/30/1937,Warren Beatty," Actor (Bonnie & Clyde, Reds)"
3,30,1945,3/30/1945,Eric Clapton, musician
3,31,1596,3/31/1596,Rene Descartes," he thought, therefore he was"
3,31,1596,3/31/1596,Descartes,
3,31,1621,3/31/1621,Andrew Marvell, English poet
3,31,1732,3/31/1732,Franz Josef Haydn," composer, helped develop Classical style"
3,31,1809,3/31/1809,Edward FitzGerald," writer, ""Rubaiyat of Omar Khayyam"""
3,31,1809,3/31/1809,Nikolai Gogol, father of 19th-century Russian realism (Dead Souls)
3,31,1811,3/31/1811,Robert Wilhelm Eberhard von Bunsen, German chemist
3,31,1854,3/31/1854,Sir Dugald Clerk, invented 2-stroke motorcycle engine
3,31,1895,3/31/1895,John J. McCloy," lawyer, banker"
3,31,1915,3/31/1915,Henry Morgan,
3,31,1922,3/31/1922,Richard Kiley,
3,31,1927,3/31/1927,Cesar Chavez, labor leader (United Farm Workers)
3,31,1927,3/31/1927,William Daniels," (St Elsewhere-Dr Mark Craig, 1776)"
3,31,1928,3/31/1928,Gordie Howe, Redwings right wing
3,31,1934,3/31/1934,Shirley Jones," Penn, (Partridge Family)"
3,31,1935,3/31/1935,Herb Alpert," band leader (Tijuana Brass), A&M music exec"
3,31,1935,3/31/1935,Richard Chamberlain," TV (Dr. Kildare, Shogun, Thornbirds)"
3,31,1940,3/31/1940,Sen Patrick Leahy, D-Vermont
3,31,1943,3/31/1943,Christopher Walken,
3,31,1945,3/31/1945,Gabe Kaplan, (Welcome Back Kotter)
3,31,1948,3/31/1948,Rhea Perlman, Bkln (Taxi & Cheers)
4,1,1873,4/1/1873,Sergei Rachmaninoff,
4,1,1883,4/1/1883,Lon Chaney, man of a thousand faces
4,2,742,4/2/742,Emperor Charlemagne,
4,2,1805,4/2/1805,Hans Christian Andersen,
4,2,1875,4/2/1875,Walter Chrysler, founded a car company.
4,2,1893,4/2/1893,Harold Lloyd,
4,2,1914,4/2/1914,Sir Alec Guiness, thespian
4,2,1920,4/2/1920,Jack Webb, dum-de-dum-dum
4,2,1924,4/2/1924,Doris Day, girl next door
4,2,1939,4/2/1939,Marvin Gaye,
4,3,1924,4/3/1924,Marlon Brando, godfather
4,3,1934,4/3/1934,Jane Goodall,
4,4,1792,4/4/1792,Thaddeus Stevens,
4,4,1802,4/4/1802,Dorothea Dix, social reformer
4,4,1915,4/4/1915,Muddy Waters,
4,4,1928,4/4/1928,Maya Angelou,
4,5,1856,4/5/1856,Booker T. Washington,
4,5,1908,4/5/1908,Bette Davis,
4,5,1954,4/5/1954,Michael W. Butler, creator of the archive files used in this program.
4,6,1810,4/6/1810,Philip Henry Gosse, invented the institutional aquarium
4,6,1866,4/6/1866,Lincoln Steffens, muckraker.
4,6,1890,4/6/1890,Anthony Herman Gerard Fokker, pioneer aircraft manufacturer
4,6,1892,4/6/1892,Donald Wills Douglas, founded an aircraft company.
4,6,1892,4/6/1892,Lowell Thomas, journalist
4,7,1770,4/7/1770,William Wordsworth,
4,7,1860,4/7/1860,W.K. Kellogg, founded the cereal company.
4,7,1915,4/7/1915,Billie Holiday, blues singer
4,7,1920,4/7/1920,Ravi Shankar,
4,7,1932,4/7/1932,Mark Russell, satirist
4,8,1889,4/8/1889,Sir Adrian Boult, conductor (BBC Symphony Orchestra)
4,8,1893,4/8/1893,Mary Pickford,
4,8,563 BC ,4/8/ 563 BC ,Gautama Buddha,
4,9,1830,4/9/1830,Eadweard Muybridge, pioneered study of motion in photography.
4,9,1865,4/9/1865,Charles Proteus Steinmetz,
4,9,1879,4/9/1879,W.C. Fields, Philadelphian
4,9,1919,4/9/1919,John Presper Eckert, co-inventor of 1st electronic computer (ENIAC)
4,12,1777,4/12/1777,Henry Clay, 'The Great Compromiser'
4,12,1791,4/12/1791,Francis P. Blair, helped found the Republican Party.
4,12,1913,4/12/1913,Lionel Hampton, orchestra leader & vibraphone improvisor
4,12,1947,4/12/1947,David Letterman,
4,13,1721,4/13/1721,John Hanson, 1st US President under the Articles of Confederation
4,13,1743,4/13/1743,Thomas Jefferson, 3rd President (1801-1809)
4,13,1852,4/13/1852,F.W. Woolworth," the ""five-and-ten"" king."
4,13,1906,4/13/1906,Samuel Beckett,
4,13,1946,4/13/1946,Al Green,
4,14,1889,4/14/1889,Arnold Toynbee, historian
4,14,1904,4/14/1904,John Gielgud,
4,14,1940,4/14/1940,Julie Christie,
4,15,1452,4/15/1452,Leonardo da Vinci, factotum
4,15,1707,4/15/1707,Leonhard Euler, mathematician
4,15,1894,4/15/1894,Bessie Smith,
4,16,1867,4/16/1867,Wilbur Wright, of aeroplane fame
4,16,1889,4/16/1889,Charlie Chaplin, tramp
4,16,1947,4/16/1947,Kareem Abdul-Jabbar, tall person
4,17,1837,4/17/1837,J.P. Morgan, financed the US.
4,17,1897,4/17/1897,Thornton Wilder, American novelist
4,18,1857,4/18/1857,Clarence Darrow, lawyer
4,19,1877,4/19/1877,Ole Evinrude, invented the outboard marine engine.
4,19,1935,4/19/1935,Dudley Moore,
4,20,1893,4/20/1893,Joan Miro,
4,21,1816,4/21/1816,Charlotte Bronte,
4,21,1838,4/21/1838,John Muir, naturalist.
4,21,1926,4/21/1926,Queen Elizabeth II,
4,22,1904,4/22/1904,J. Robert Oppenheimer,
4,22,1922,4/22/1922,Charles Mingus,
4,23,1564,4/23/1564,William Shakespeare, bard
4,23,1791,4/23/1791,James Buchanan, 15th President (1857-1861)
4,23,1813,4/23/1813,Stephen Douglas," the ""Little Giant"", debated Lincoln"
4,23,1928,4/23/1928,Shirley Temple, child
4,23,1936,4/23/1936,Roy Orbison,
4,24,1620,4/24/1620,John Graunt," statistician, founded the science of demography"
4,24,1942,4/24/1942,Barbra Streisand, profile
4,25,1874,4/25/1874,Guglielmo Marconi, made radio possible
4,25,1908,4/25/1908,Edward R. Murrow, set the standard for TV correspondents.
4,25,1918,4/25/1918,Ella Fitzgerald,
4,26,1785,4/26/1785,John James Audubon, birdwatcher
4,26,1900,4/26/1900,Charles Richter, he tells us how bad the quakes are.
4,27,1791,4/27/1791,Samuel F. B. Morse,
4,27,1822,4/27/1822,Ulyssses S. Grant, 18th President (1869-1877)
4,27,1896,4/27/1896,Wallace Hume Carothers, invented nylon.
4,28,1758,4/28/1758,James Monroe, 5th President (1816-1824)
4,28,1937,4/28/1937,Jack Nicholson,
4,28,1950,4/28/1950,Jay Leno,
4,29,1830,4/29/1830,Adolph Sutro," SF mayor, built Cliff House, railways, tunnels..."
4,29,1863,4/29/1863,William Randolph Hearst, newspaper publisher (SF Examiner)
4,29,1899,4/29/1899,Duke Ellington,
4,29,1957,4/29/1957,Daniel Day Lewis,
4,30,1777,4/30/1777,Carl Friedrich Gauss, one of the greatest mathematician of all time.
4,30,1912,4/30/1912,Eve Arden, Our Miss Brooks
4,30,1933,4/30/1933,Willie Nelson,
5,1,1672,5/1/1672,Joseph Addison, English essayist (Spectator)
5,1,1769,5/1/1769,Duke of Wellington," (C), victor at Waterloo, British PM (1828-30)"
5,1,1830,5/1/1830,Mary Harris Jones," (Mother Jones), hell-raiser"
5,1,1881,5/1/1881,Pierre Teilhard de Chardin," French philosopher, paleontologist"
5,1,1900,5/1/1900,Ignazio Silone," Italian novelist, politician (Bread and Wine)"
5,1,1909,5/1/1909,Kate Smith, singer (God Bless America)
5,1,1910,5/1/1910,Cliff Battles, NFL halfback (Boston/Washington Redskins)
5,1,1916,5/1/1916,Glenn Ford," Actor (Big Heat, Midway)"
5,1,1917,5/1/1917,Danielle Darieux, in France
5,1,1918,5/1/1918,Jack Paar, Tonight Show host
5,1,1925,5/1/1925,Malcolm Scott Carpenter, Mercury astronaut (Aurora 7)
5,1,1925,5/1/1925,Chuck Bednarik," NFL center, linebacker (Philadelphia Eagles)"
5,1,1930,5/1/1930,Ollie Matson," NFL halfback (Cardinals, Rams, Lions, Eagles)"
5,1,1939,5/1/1939,Judy Collins, in Seattle Wash
5,1,1945,5/1/1945,Rita Coolidge, in Tennessee
5,2,1660,5/2/1660,Alessandro Scarlatti, Italian composer
5,2,1729,5/2/1729,Catherine II (the Great), empress of Russia (1762-96)
5,2,1837,5/2/1837,Henry Martyn Robert," author of ""Robert's Rules of Order"""
5,2,1840,5/2/1840,Theodor Herzl, founder of Zionist movement
5,2,1860,5/2/1860,Sir D'Arcy Thompson," zoologist, classicist (On Growth and Form)"
5,2,1902,5/2/1902,Brian Aherne, Actor
5,2,1903,5/2/1903,Benjamin Spock, pediatrician
5,2,1904,5/2/1904,Bing Crosby," crooner, Actor (Going My Way)"
5,2,1924,5/2/1924,Theodore Bikel, folk singer
5,2,1946,5/2/1946,Leslie Gore," in Tenafly NJ, cries at her own party"
5,3,1469,5/3/1469,Niccolo Machiavelli, politician (The Prince)
5,3,1469,5/3/1469,Machiavelli,
5,3,1844,5/3/1844,Richard D'Oyly Carte, impresario
5,3,1874,5/3/1874,Francois Coty, perfumemaker
5,3,1892,5/3/1892,Sir George Thomson, demonstrated electron diffraction (Nobel 1937)
5,3,1897,5/3/1897,V.K. Krishna Menon," Indian nationalist, statesman"
5,3,1898,5/3/1898,Golda Meir, 4th Israeli PM (1969-74)
5,3,1906,5/3/1906,Mary Astor, Actress
5,3,1919,5/3/1919,Pete Seeger, folk singer
5,3,1919,5/3/1919,Betty Comden," song writer, Bkln"
5,3,1920,5/3/1920,Sugar Ray Robinson, boxer
5,3,1928,5/3/1928,James Brown,
5,3,1937,5/3/1937,Franki Valli, singer
5,3,1941,5/3/1941,Nona Gaprindasvili," of USSR, world women's chess champ (1962-78)"
5,3,1942,5/3/1942,Vera Caslavska-Odlozilova, Czechoslovak Olympic gymnast
5,4,1796,5/4/1796,Horace Mann, educator
5,4,1820,5/4/1820,Joseph Whitaker," English publisher, founded Whitaker's Almanack"
5,4,1820,5/4/1820,Julia Gardiner Tyler, 2nd wife of President John Tyler
5,4,1825,5/4/1825,Thomas Henry Huxley, scientist and humanist
5,4,1918,5/4/1918,Kakuei Tanaka, Japanese prime minister convicted of bribe-taking
5,4,1929,5/4/1929,Audrey Hepburn," Brussels Bel (Breakfast at Tiffany's, My Fair Lady)"
5,4,1930,5/4/1930,Roberta Peters," operatic soprano, NYC"
5,4,1954,5/4/1954,Julie Budd, Bkln
5,4,1961,5/4/1961,Mary McDonough,
5,5,1813,5/5/1813,Síren Kierkegaard, founder of Existentialism
5,5,1818,5/5/1818,Karl Marx,
5,5,1832,5/5/1832,H.H. Bancroft," historian, publisher"
5,5,1846,5/5/1846,Henryk Sienkiewicz, Polish author (Quo Vadis) (Nobel 1905)
5,5,1867,5/5/1867,Nellie Bly, name became a synonym for female star reporter
5,5,1890,5/5/1890,Author Christopher Morley,
5,5,1899,5/5/1899,F.F. Gosden (Amos),
5,5,1900,5/5/1900,Spencer Tracy, Actor (Guess Who's Coming to Dinner)
5,5,1903,5/5/1903,James Beard, American culinary expert and author
5,5,1915,5/5/1915,Richard H. Rovere, journalist
5,5,1919,5/5/1919,Tony Canadeo, NFL halfback (Green Bay Packers)
5,5,1925,5/5/1925,Monica Lewis,
5,5,1926,5/5/1926,Ann B Davis, in Schnectady NY - Brady Bunch maid
5,5,1927,5/5/1927,Pat Carrol, in Shrevport Louisiana
5,5,1930,5/5/1930,Michael J. Adams, X-15 pilot
5,5,1942,5/5/1942,Tammy Wynette," country singer, Redbay Alabama"
5,5,1943,5/5/1943,Michael Palin,
5,6,973,5/6/973,Henry II, Holy Roman emperor (1014-24)
5,6,1740,5/6/1740,John Penn, signer of the Declaration of Independence
5,6,1758,5/6/1758,Robespierre, French Revolutionary leader
5,6,1843,5/6/1843,Grove Karl Gilbert," geologist, investigated Lake Bonneville, Utah"
5,6,1856,5/6/1856,Robert Peary, artic explorer
5,6,1856,5/6/1856,Sigmund Freud, cigar smoker
5,6,1859,5/6/1859,Luis Mar¡a Drago," Argentine statesman, anti-interventionist"
5,6,1861,5/6/1861,Rabindranath Tagore," Hindu poet, mystic, composer (Nobel 1913)"
5,6,1870,5/6/1870,AP Giannini, founder of Bank of America
5,6,1888,5/6/1888,Emmanuel Celler, former congressman
5,6,1895,5/6/1895,Rudolph Valentino, sheik
5,6,1902,5/6/1902,Harry Golden, writer
5,6,1902,5/6/1902,Max Ophulus, film director
5,6,1903,5/6/1903,Aram Khachaturian, composer
5,6,1904,5/6/1904,Harry Martinson," Swedish novelist, poet (Trade Wind) (Nobel 1974)"
5,6,1905,5/6/1905,Toots Shor," raconteur, restaurateur"
5,6,1907,5/6/1907,Weeb Ewbank," NFL coach (Baltimore Colts, New York Jets)"
5,6,1915,5/6/1915,Theodore H. White," historian, writer"
5,6,1915,5/6/1915,Orson Welles," Actor (Citizen Kane, War of the Worlds, Third Man)"
5,6,1924,5/6/1924,Mimi Benzell, in Bridgeport
5,6,1926,5/6/1926,Marguerite Piazza, operatic soprano
5,6,1931,5/6/1931,Willie Mays," baseball player, the ""Say Hey Kid."""
5,6,1962,5/6/1962,Lori Singer, in Chorpus Christi Texas
5,7,1774,5/7/1774,Sir Francis Beaufort, naval officer who devised scale of wind force
5,7,1812,5/7/1812,Robert Browning, English poet
5,7,1833,5/7/1833,Johannes Brahms, enjoys a good lullaby
5,7,1840,5/7/1840,Peter Ilich Tchaikovsky, Russian composer (1812 Overture)
5,7,1847,5/7/1847,Archibald Primrose," Earl of Rosebery (Lib), British P.M. (1894-95)"
5,7,1892,5/7/1892,Josip Broz Tito," WW II partisan, leader of Yugoslavia (1943-80)"
5,7,1901,5/7/1901,Gary Cooper," Actor (High Noon, The Plainsman)"
5,7,1909,5/7/1909,Edwin Land, founded instant photography (Polaroid)
5,7,1919,5/7/1919,Eva Per¢n, Argentine 1st lady
5,7,1922,5/7/1922,Darren McGavin, Actor (Night Stalker)
5,7,1923,5/7/1923,Anne Baxter," Mich (Razor's Edge, All About Eve)"
5,7,1926,5/7/1926,Val Bisoglio, Actor
5,7,1931,5/7/1931,Teresa Brewer, in Toledo Oh - Put another nickel it
5,7,1932,5/7/1932,Pete Domeneci," (R), NM sen"
5,7,1933,5/7/1933,Johnny Unitas," NFL quarterback (Baltimore Colts, San Diego)"
5,7,1944,5/7/1944,Sivi Aberg,
5,7,1945,5/7/1945,Robin Strasser, in NYC
5,7,1951,5/7/1951,Janis Ian (Fink), in NYC
5,8,1737,5/8/1737,Edward Gibbon, historian (Decline and Fall of the Roman Empire)
5,8,1786,5/8/1786,Thomas Hancock, founded British rubber industry
5,8,1824,5/8/1824,William Walker," filibuster, president of Nicaragua (1856-57)"
5,8,1828,5/8/1828,Henri Dunant," of Switzerland, founded Red Cross, YMCA (Nobel 1901)"
5,8,1829,5/8/1829,Louis Moreau Gottschalk, 1st internationally recognized US pianist
5,8,1884,5/8/1884,Harry S Truman, 32nd President (1945-1949)
5,8,1895,5/8/1895,Jose G¢mez (Joselito el Gallo), bullfighter
5,8,1895,5/8/1895,Fulton J Sheen, bishop
5,8,1920,5/8/1920,Sloan Wilson, American novelist
5,8,1926,5/8/1926,David Attenborough, Environmentalist
5,8,1926,5/8/1926,Don Rickles, comedian
5,8,1928,5/8/1928,Theodore Sorenson, former presidential advisor
5,8,1930,5/8/1930,Gary Snyder, beat poet (Rip Rap and Cold Mountain Poems)
5,8,1930,5/8/1930,Doug Atkins," NFL defensive end (Cleveland, Chicago, New Orleans)"
5,8,1935,5/8/1935,Salome Jens," in Milwaukee, Wisconsin"
5,8,1937,5/8/1937,Sen Dennis DeConcini, D-Ariz
5,8,1937,5/8/1937,Thomas Pynchon,
5,8,1940,5/8/1940,Peter Benchley," author (Jaws, The Deep)"
5,8,1940,5/8/1940,Ricky Nelson," rock star (Hello Mary Lou, It's Late, Garden Party)"
5,8,1942,5/8/1942,Angel Cordero, Jockey
5,8,1943,5/8/1943,Toni Tennille, only female Beachboy in Montgomery Ala
5,8,1964,5/8/1964,Melissa Gilbert, LA
5,9,1800,5/9/1800,John Brown," abolitionist, leader of attack on Harpers Ferry"
5,9,1843,5/9/1843,Belle Boyd," Confederate spy, Actress, lecturer"
5,9,1860,5/9/1860,James M Barrie, Scotland
5,9,1860,5/9/1860,Sir James Barrie," Scottish author (Peter Pan, The Little Minister)"
5,9,1873,5/9/1873,Howard Carter, Egyptologist found King Tut
5,9,1882,5/9/1882,Henry J Kaiser," (built Liberty Ships, Jeeps)"
5,9,1883,5/9/1883,Jose Ortega y Gasset, Spanish philosopher (Revolt of the Masses)
5,9,1910,5/9/1910,Barbara Woodhouse, Dog training expert
5,9,1914,5/9/1914,Theodore Kheel, labor negotiator
5,9,1918,5/9/1918,Mike Wallace, host of 60 Minutes (or 0519)
5,9,1928,5/9/1928,Pancho Gonzales, U.S. tennis champion
5,9,1931,5/9/1931,Vance D. Brand," U.S. astronaut (Apollo-Soyuz, STS-5, 41B)"
5,9,1936,5/9/1936,Terry Drinkwater, CBS newsman
5,9,1936,5/9/1936,Glenda Jackson, in Cheshire England
5,9,1936,5/9/1936,Albert Finney," Actor (The Dresser, Under the Volcano)"
5,9,1937,5/9/1937,Glenda Jackson,
5,9,1940,5/9/1940,James L Brooks, Producer-director
5,9,1946,5/9/1946,Candice Bergen," in Beverly Hills, her father spoke to wood"
5,9,1948,5/9/1948,Billy Joel, Bronx (Pianoman)
5,10,1730,5/10/1730,George Ross," lawyer, signed Decl of Ind"
5,10,1788,5/10/1788,Augustin-Jean Fresnel, pioneer in optics
5,10,1843,5/10/1843,Kaufmann Kohler," Reform rabbi, theologian"
5,10,1843,5/10/1843,Benito Perez Gald¢s," Spanish novelist (Fountain of Gold, Nazarin)"
5,10,1850,5/10/1850,Sir Thomas Lipton, tea magnate
5,10,1878,5/10/1878,Gustav Stresemann, German chancellor (1923) (Nobel 1926)
5,10,1886,5/10/1886,Olaf Stapleton, British religious sci-fi writer (Star Maker)
5,10,1898,5/10/1898,Ariel Durant, writer (The Story of Civilization)
5,10,1899,5/10/1899,Fred Astaire, tapdancer
5,10,1902,5/10/1902,David O Selznick, film producer
5,10,1908,5/10/1908,Carl Albert," (D), speaker of the U.S. House of Representatives"
5,10,1921,5/10/1921,Nancy Walker," in Phila, Actress (Rhoda)"
5,10,1957,5/10/1957,Phillip Mahre, World Cup ski champion
5,10,1960,5/10/1960,Bono,
5,11,1722,5/11/1722,Peter Camper, anatomist
5,11,1852,5/11/1852,Charles Warren Fairbanks," (R), 26th U.S. vice-president (1905-09)"
5,11,1888,5/11/1888,Irving Berlin, dreaming of a white Christmas
5,11,1888,5/11/1888,Irving Berling,
5,11,1892,5/11/1892,Dame Margaret Rutherford, British Actress (Murder Most Foul)
5,11,1902,5/11/1902,Bid£ Sayao, Brazilian soprano
5,11,1904,5/11/1904,Salvador Dal¡, surrealist
5,11,1912,5/11/1912,Phil Silvers," U.S. comedian, Actor"
5,11,1916,5/11/1916,Camilo Jose Cela," in Spain, author"
5,11,1927,5/11/1927,Mort Sahl, comedian
5,11,1938,5/11/1938,Doug McClure, Actor
5,12,1812,5/12/1812,Edward Lear," in England, wrote in verse"
5,12,1820,5/12/1820,Florence Nightingale," nurse, Florence, Italy"
5,12,1828,5/12/1828,Dante Gabriel Rossetti," poet, painter, Pre-Raphaelite"
5,12,1842,5/12/1842,Jules Massenet, composer
5,12,1845,5/12/1845,Gabriel Faure, composer
5,12,1880,5/12/1880,Lincoln Ellsworth," led 1st transarctic, transantarctic flights"
5,12,1904,5/12/1904,Robert Baldwin," (L), helped establish cabinet government in Canada"
5,12,1914,5/12/1914,Howard K. Smith, TV newsperson (ABC)
5,12,1925,5/12/1925,Yogi Barra, NY Yankee catcher
5,12,1929,5/12/1929,Burt Bacharach, composer
5,12,1936,5/12/1936,Tom Snyder, TV host (Tomorrow Show)
5,12,1937,5/12/1937,George Carlin, Comedian
5,12,1939,5/12/1939,Ronald Ziegler, Nixon's press secretary
5,12,1942,5/12/1942,Susan Hampshire, in London
5,12,1950,5/12/1950,Bruce Boxleitner,
5,12,1950,5/12/1950,Shozo Fujii, judo champion
5,12,1968,5/12/1968,Prince, rock singer
5,12,1969,5/12/1969,Kim Fields, LA (Facts of Life)
5,13,1717,5/13/1717,Empress Maria Theresa, of Austria
5,13,1730,5/13/1730,Marquess of Rockingham," (Whig), British PM (1765-66, 1782)"
5,13,1842,5/13/1842,Sir Arthur Sullivan," in England, of Gilbert & Sullivan fame"
5,13,1856,5/13/1856,Peter Henry Emerson, 1st to promote photography as an independent art
5,13,1867,5/13/1867,Sir Frank Brangwyn," Welsh painter, muralist"
5,13,1913,5/13/1913,Gil Evans,
5,13,1914,5/13/1914,Joe Louis, world heavyweight boxing champion (1937-49)
5,13,1926,5/13/1926,Bea Arthur," (Maude, Golden Girls), NY"
5,13,1942,5/13/1942,Vladimir A. Dzhanibekov, Soviet cosmonaut (Soyuz 27/39/T6/T12/T13)
5,13,1950,5/13/1950,Peter Gabriel, rocker
5,13,1950,5/13/1950,Stevie Wonder, singer
5,14,1316,5/14/1316,Charles IV," king of Bohemia (1346-78), emperor (1355-78)"
5,14,1686,5/14/1686,Gabriel Daniel Fahrenheit, physicist (or 0524)
5,14,1771,5/14/1771,Robert Owen," English fActory owner, socialist"
5,14,1787,5/14/1787,Thomas Gainsborough," English landscape, portrait painter (Blue Boy)"
5,14,1885,5/14/1885,Otto Klemperer, German conductor
5,14,1919,5/14/1919,Heloise, and her helpful hints
5,14,1925,5/14/1925,Patrice Munsel, in Spokane Wash
5,14,1944,5/14/1944,George Lucas, skywalker
5,14,1946,5/14/1946,Robert Jarvik, invented Jarvik 7 artificial heart
5,14,1952,5/14/1952,David Byrne," in England, rocker"
5,15,1856,5/15/1856,L. Frank Baum, children's book author (Wizard of Oz)
5,15,1859,5/15/1859,Pierre Curie, French physicist (Nobel 1903)
5,15,1860,5/15/1860,Ellen Louise Axson Wilson, 1st wife of Woodrow Wilson
5,15,1862,5/15/1862,Arthur Schnitzler," Austrian playwright, novelist"
5,15,1890,5/15/1890,Katherine Anne Porter, U.S. novelist (Ship of Fools)
5,15,1891,5/15/1891,Mikhail Bulgakov," Russian playwright, novelist, short-story writer"
5,15,1902,5/15/1902,Richard Daley," (D), former mayor of Chicago"
5,15,1905,5/15/1905,Joseph Cotten,
5,15,1909,5/15/1909,James Mason, Actor (Lolita)
5,15,1910,5/15/1910,Constance Cummings,
5,15,1918,5/15/1918,Eddy Arnold, Country singer
5,15,1918,5/15/1918,Joseph Wiseman, Actor
5,15,1919,5/15/1919,Wladziu Valentino Liberace, pianist
5,15,1923,5/15/1923,Richard Avedon,
5,15,1924,5/15/1924,Ursula Theiss,
5,15,1926,5/15/1926,Anthony Shaffer / Peter Shaffer, twin brothers Playwrights
5,15,1936,5/15/1936,Anna Marie Alberghetti," Actress, Italy"
5,15,1936,5/15/1936,Paul Zindel, Playwright
5,15,1937,5/15/1937,Trini Lopez, singer
5,15,1942,5/15/1942,Lainie Kazan," Bkln, Singer/Actress"
5,15,1948,5/15/1948,Brian Eno, singer
5,15,1953,5/15/1953,George Brett, KC Royals
5,15,1955,5/15/1955,Lee Horsley, Actor
5,16,1763,5/16/1763,Louis-Nicolas Vauquelin," chemist, discoverer of chromium, beryllium"
5,16,1801,5/16/1801,William H. Seward, bought Alaska
5,16,1824,5/16/1824,Levi Parsons Morton," (R), 22nd US VP (1889-93)"
5,16,1905,5/16/1905,Henry Fonda, Actor (Mr. Roberts) Grand Is Nebraska
5,16,1912,5/16/1912,Studs Terkel, author (Working)
5,16,1913,5/16/1913,Woody Herman, Bandleader
5,16,1919,5/16/1919,Liberace (Wladziu Liberace), candelabrist
5,16,1919,5/16/1919,Liberace,
5,16,1924,5/16/1924,Frank F. Mankiewicz, columnist
5,16,1928,5/16/1928,Billy Martin," baseball manager (NY Yankees, Oakland A's)"
5,16,1931,5/16/1931,Lowell Weicker," R-Conn, Sen"
5,16,1952,5/16/1952,Pierce Brosnan, in Israel
